correct_part,typo_part,count
.,",",122
c,s,38
.,/,38
o,a,34
e,a,25
-,^,25
o,p,24
a,e,22
i,o,21
b,d,16
u,i,14
m,.jp,13
-,.,12
a,o,10
c,k,10
.,-,10
f,h,9
i,a,7
i,e,7
s,（空）,7
m,",",6
n,u,6
l,r,6
g,d,6
.jp,m,6
r,（空）,5
o,u,5
l,i,5
s,h,5
p,o,5
e,i,4
h,k,4
u,a,4
t,k,4
c,z,4
（空）,e,4
d,o,4
t,s,4
ne,co,4
e,u,4
o,e,4
c,g,4
j,z,4
（空）,o,3
n,s,3
g,k,3
k,h,3
s,a,3
c,a,3
a,u,3
a,（空）,3
q,g,3
（空）,h,3
j,c,3
d,g,3
m,.,3
（空）,a,3
a,i,3
r,y,3
o,c,3
t,（空）,3
e,h,2
o,（空）,2
p,g,2
g,q,2
i,（空）,2
u,e,2
-,=,2
t,i,2
x,z,2
l,t,2
（空）,i,2
（空）,l,2
t,p,2
t,u,2
k,c,2
i,s,2
y,i,2
x,e,2
s,u,2
m,h,2
n,t,2
n,i,2
t,d,2
b,m,2
（空）,u,2
t,b,2
b,p,2
k,（空）,2
r,k,2
.,（空）,2
（空）,k,2
g,z,2
i,n,2
-,（空）,2
j,l,2
g,r,2
i,-,1
b,e,1
h,g,1
（空）,zo,1
ch,t,1
q.,"d,",1
m,ch,1
s,n,1
c,（空）,1
n,m,1
m,r,1
ad,sg,1
o,h,1
cc,bb,1
m,rp,1
n,shir,1
l,d,1
ga,mo,1
k,b,1
（空）,do,1
od,（空）,1
a,z,1
j,g,1
g,s,1
l,k,1
ti,u,1
（空）,.e,1
e,（空）,1
spec,iyyo,1
r,t,1
no,i,1
y,v,1
k,a,1
n,r,1
l-,（空）,1
-o-,^,1
l,.,1
a.,"e,",1
oc,us,1
y,n,1
c,p,1
ot,am,1
v,m,1
h,s,1
s,e,1
p,h,1
r,e,1
t,r,1
h,t,1
bil,d,1
fu,hi,1
d,t,1
（空）,se,1
ar,（空）,1
（空）,de,1
ed,（空）,1
h,w,1
kei,（空）,1
a,oi,1
p,d,1
m,s,1
.,n,1
（空）,et,1
te,（空）,1
k,s,1
a,t,1
b,k,1
（空）,ta,1
at,（空）,1
r,u,1
o,n,1
（空）,y,1
p,uy,1
-,_,1
ji,ru,1
ur,aw,1
-,0,1
f,s,1
d,b,1
u,（空）,1
r,s,1
x,c,1
ni,g,1
（空）,il,1
liv,b,1
-f,^g,1
（空）,ged,1
ehd,（空）,1
a,hoi,1
u,o,1
s,v,1
t,h,1
c,u,1
（空）,d,1
p,e,1
oc,as,1
（空）,na,1
an,（空）,1
（空）,ur,1
ru,（空）,1
b,y,1
.,",,",1
t,n,1
ad,co,1
w,en,1
（空）,c,1
t,m,1
（空）,s,1
b,g,1
o.,"i,",1
g,u,1
gr,c,1
u,.j,1
c,si,1
k,r,1
e,n,1
ar,ez,1
c,b,1
h,i,1
a,d,1
m,（空）,1
q,d,1
d.,h-,1
y,ies,1
（空）,co.,1
-,u,1
m,n,1
l,n,1
（空）,n,1
e,y,1
h,e,1
k,t,1
.,m,1
u,s,1
c,h,1
e,2,1
g,p,1
h,d,1
w,u,1
a,s,1
ra,ye,1
l,;,1
pp,（空）,1
（空）,on,1
k,",",1
y,r,1
t,su,1
d,h,1
in,om,1
.,0,1
g,j,1
b,c,1
t,y,1
