correct_part,typo_part,count
（空）,u,63
（空）,a,58
（空）,o,54
（空）,e,43
（空）,h,41
（空）,i,40
（空）,n,34
（空）,co.,24
（空）,s,22
（空）,r,22
（空）,k,16
（空）,y,13
e,（空）,13
m,.jp,13
（空）,c,11
（空）,l,11
（空）,.,9
a,（空）,9
（空）,t,8
n,（空）,7
r,（空）,7
（空）,m,7
（空）,p,7
.,",",6
i,（空）,6
h,（空）,6
（空）,-,6
o,（空）,5
u,（空）,5
（空）,d,5
t,（空）,5
（空）,g,4
（空）,",",4
p,o,4
l,（空）,4
（空）,],3
（空）,b,3
l,i,3
（空）,mo,3
（空）,ba,3
p,（空）,3
k,（空）,3
（空）,w,3
-,^,2
s,（空）,2
（空）,j,2
（空）,ur,2
d,（空）,2
n,m,2
m,（空）,2
o,i,2
（空）,7,2
ta,（空）,2
（空）,re,2
（空）,q,2
（空）,am,2
o,a,2
（空）,;,2
（空）,zo,1
（空）,so,1
m,ch,1
（空）,l\,1
j,（空）,1
（空）,as,1
m,rp,1
n,shir,1
aw,（空）,1
b,（空）,1
（空）,-ss,1
（空）,.e,1
（空）,ag,1
（空）,o\,1
7,（空）,1
g,（空）,1
-,（空）,1
（空）,ds,1
（空）,arti,1
e,a,1
（空）,4,1
a,oi,1
b,v,1
l,k,1
i,o,1
i,u,1
c,d,1
（空）,on,1
j,i,1
p,uy,1
（空）,ou,1
j,c,1
（空）,up,1
k,zo,1
ra,（空）,1
y,i,1
a,hoi,1
（空）,ne,1
（空）,t¥,1
s,v,1
p,oo,1
c,（空）,1
t,r,1
.,",,",1
y,（空）,1
w,en,1
（空）,im,1
s,a,1
（空）,jj,1
c,si,1
a,o,1
j,z,1
（空）,ek,1
（空）,3,1
o,p,1
x,（空）,1
e,y,1
.,/,1
j,m,1
ee,r,1
（空）,^,1
（空）,9,1
d,e,1
t,su,1
（空）,jp.,1
