correct_part,typo_part,count
i,（空）,42
s,（空）,41
r,（空）,39
h,（空）,36
.,（空）,36
n,（空）,34
e,（空）,33
a,（空）,31
o,（空）,28
l,（空）,26
t,（空）,25
c,（空）,22
u,（空）,19
co.,（空）,18
（空）,e,13
m,（空）,13
-,（空）,13
（空）,a,12
p,（空）,10
k,（空）,10
d,（空）,8
（空）,i,8
（空）,h,6
.jp,m,6
（空）,r,5
j,（空）,5
（空）,u,5
.,",",5
（空）,n,4
（空）,o,4
p,o,4
g,（空）,4
（空）,l,4
（空）,s,3
y,（空）,3
（空）,ba,3
bo,（空）,2
ot,（空）,2
21,（空）,2
a,s,2
（空）,d,2
（空）,b,2
-hd,（空）,2
m,.jp,2
h,j,2
（空）,k,2
ta,（空）,2
（空）,co.,2
f,（空）,2
hd,（空）,2
（空）,p,2
.co,（空）,2
（空）,t,2
x,（空）,2
pr,（空）,1
ch,t,1
j-,（空）,1
gr,（空）,1
h,k,1
-net,（空）,1
（空）,so,1
s,n,1
（空）,j,1
n,b,1
aw,（空）,1
b,（空）,1
ti,u,1
cmk-,（空）,1
r,t,1
no,i,1
（空）,ag,1
（空）,7,1
7,（空）,1
s,a,1
l-,（空）,1
-o-,^,1
s-,（空）,1
tau,（空）,1
pc,（空）,1
c,s,1
ki,（空）,1
as,（空）,1
ro,（空）,1
d.,（空）,1
（空）,m,1
t,y,1
k,l,1
bil,d,1
fu,hi,1
x.jp,（空）,1
（空）,de,1
ed,（空）,1
i,e,1
kei,（空）,1
na,（空）,1
r,e,1
t,f,1
t,r,1
ur,（空）,1
-cvs,（空）,1
en,（空）,1
.jp,（空）,1
ko,（空）,1
k,zo,1
ra,（空）,1
gh,（空）,1
-,0,1
fg,（空）,1
-,^,1
ni,g,1
y,i,1
r,k,1
au,（空）,1
to,（空）,1
l,i,1
o,i,1
isp,（空）,1
-ind,（空）,1
i,o,1
c,g,1
c,si,1
a,d,1
hi,y,1
y,ies,1
-,u,1
w,e,1
l,n,1
.com,（空）,1
（空）,mo,1
hd.,（空）,1
m,n,1
j,m,1
p.jp,（空）,1
ee,r,1
i,u,1
ju,（空）,1
g-,（空）,1
l,o,1
