correct_part,typo_part,count
p,o,62
n,m,28
o,i,19
t,y,16
s,a,16
m,n,15
t,r,14
a,s,13
h,y,13
l,k,12
r,t,10
i,u,10
r,e,10
c,d,10
.,",",8
k,l,7
x,z,7
j,i,6
u,y,5
s,z,5
j,k,5
s,（空）,5
e,r,5
g,f,5
e,w,5
w,e,4
b,g,4
c,x,4
y,h,4
d,e,4
（空）,a,4
c,v,4
e,d,3
r,（空）,3
t,（空）,3
h,j,3
（空）,i,3
s,e,3
b,v,3
f,g,3
（空）,e,3
l,o,3
o,a,3
v,b,3
k,j,3
l,i,3
n,h,3
f,j,2
j,f,2
h,g,2
y,t,2
n,b,2
i,（空）,2
e,（空）,2
.co,（空）,2
t,f,2
（空）,u,2
j,n,2
e,i,1
j,h,1
g,b,1
m,r,1
ad,sg,1
c,z,1
.,-,1
i,e,1
（空）,t,1
v,c,1
s,w,1
no,i,1
（空）,o\,1
d,（空）,1
b,h,1
d,s,1
（空）,ds,1
z,x,1
h,b,1
tau,（空）,1
u,（空）,1
c,f,1
p,h,1
z,a,1
w,s,1
（空）,y,1
tt,rr,1
（空）,",",1
（空）,g,1
t,d,1
（空）,h,1
-,^,1
e,h,1
g,h,1
f,t,1
k,zo,1
ra,（空）,1
ji,ru,1
ur,aw,1
k,m,1
a,q,1
h,u,1
c,s,1
x,c,1
（空）,il,1
liv,b,1
c,k,1
-f,^g,1
（空）,ged,1
ehd,（空）,1
p,oo,1
pp,oo,1
（空）,uh,1
ho,（空）,1
s,x,1
.,（空）,1
（空）,.,1
（空）,d,1
g,t,1
m,.jp,1
ne,co,1
o.,"i,",1
gr,c,1
u,.j,1
p,l,1
hi,y,1
-,（空）,1
f,r,1
ee,rr,1
h,n,1
hd.,（空）,1
mo,ni,1
l,（空）,1
j,m,1
r,y,1
s,d,1
ee,r,1
y,u,1
ll,kk,1
pp,（空）,1
（空）,on,1
g,y,1
a,（空）,1
（空）,s,1
dd,ee,1
in,om,1
p,（空）,1
b,c,1
