設問1	設問2-1	設問2-2	設問3	設問4	設問5-1	設問5-2	設問6-1	設問6-2	設問7-1	設問7-2	設問8	設問9	設問10（チェック）	設問11	設問12	会員ID
はい	完了している	ここには何も入力しないでください。	40代	男性	パート・アルバイト		流通・小売業		日本語配列（JIS配列）		1通未満	スケジュールの確認	221957	J5aGeELP	毎回メールアドレスを手打ちするのはものすごく大変で、アドレス帳機能のありがたさを実感しました。	1225660014
はい	完了している	ここには何も入力しないでください。	50代	男性	会社勤務（一般社員）		流通・小売業		日本語配列（JIS配列）		10~19通	業務報告	221957	5xQVIZjz	特になし	1233388038
はい	完了している	ここには何も入力しないでください。	50代	男性	会社勤務（管理職）		その他	児童福祉施設	日本語配列（JIS配列）		1~9通	関係者への連絡	221957	7LdwRD25	疲れました	1235214361
はい	完了している	ここには何も入力しないでください。	40代	男性	会社勤務（管理職）		エネルギー・素材・産業機械		日本語配列（JIS配列）		1~9通	指示・確認メール	221957	0FTGst07	コピペの便利さを再度認識学びました。	1236911382
はい	完了している	ここには何も入力しないでください。	40代	男性	会社勤務（一般社員）		外食・各種サービス		日本語配列（JIS配列）		20~29通	スケジュール管理	221957	Km55dQhe		1233704793
はい	完了している	ここには何も入力しないでください。	40代	男性	会社勤務（一般社員）		ファッション・アクセサリー		日本語配列（JIS配列）		1~9通	スタッフ間での業務連絡、他社との取引きに関する連絡、問い合わせ	221957	ysr20339		1235734487
はい	完了している	ここには何も入力しないでください。	50代	男性	会社勤務（一般社員）		飲料・嗜好品		日本語配列（JIS配列）		10~19通	主に業務スケジュール等の確認事項について。	221957##	xVo13CyM	流石にここまでは急かされないので、少々焦った。	1235637061
はい	完了している	ここには何も入力しないでください。	30代	男性	パート・アルバイト		教育・医療サービス・宗教		日本語配列（JIS配列）		1~9通	受講キャンセルがあった場合の調整連絡##保護者に対する定期連絡##	221957	W90cjr1u		1237700957
はい	完了している	ここには何も入力しないでください。	40代	男性	無職		この中に当てはまるものがない		英語配列（US配列）		1通未満	私用でメールを送るくらいです	221957	vgmZZzqs	大変でした	1230299552
はい	完了している	ここには何も入力しないでください。	40代	男性	専業主婦・主夫		この中に当てはまるものがない		日本語配列（JIS配列）		1~9通	確認メールが多いです。	221957	QoASe4uZ		1225143548
はい	完了している	ここには何も入力しないでください。	40代	男性	無職		この中に当てはまるものがない		日本語配列（JIS配列）		1通未満	働いていた時は欠勤するときなどにメールを使用してました。	221957	aQtgoN7y		1230123043
はい	完了している	ここには何も入力しないでください。	40代	男性	自営業（商工サービス）		流通・小売業		日本語配列（JIS配列）		1~9通	お客様からの問い合わせに対する返信	221957	hdBMfv2r		1230148982
はい	完了している	ここには何も入力しないでください。	50代	男性	無職		この中に当てはまるものがない		日本語配列（JIS配列）		1~9通	情報共有	221957	LSpxIH1j		1232711782
はい	完了している	ここには何も入力しないでください。	50代	男性	会社勤務（一般社員）		不動産・住宅設備		日本語配列（JIS配列）		1~9通	取引業者への仕事上の内容	221957	OKJm4Ldf		1230444906
はい	完了している	ここには何も入力しないでください。	50代	男性	会社勤務（一般社員）		情報・通信		日本語配列（JIS配列）		20~29通	会議の開催案内、業務の進捗連絡、顧客とのやり取り	221957	iZDXkf7l	疲れました	1230161902
はい	完了している	ここには何も入力しないでください。	20代	男性	会社経営（経営者・役員）		食品		日本語配列（JIS配列）		20~29通		221957	kvKFGTER		1229042491
はい	完了している	ここには何も入力しないでください。	50代	男性	会社経営（経営者・役員）		不動産・住宅設備		日本語配列（JIS配列）		1~9通	仕事での報告メール。	221957##	HuVNOtNr		1231469884
はい	完了している	ここには何も入力しないでください。	50代	男性	無職		この中に当てはまるものがない		日本語配列（JIS配列）		1通未満	業務を行っていない	221957	2TYkp5PI		1232777504
はい	完了している	ここには何も入力しないでください。	40代	男性	SOHO		この中に当てはまるものがない		日本語配列（JIS配列）		1~9通	作業の進捗や完了の報告、作業工程についての確認など。	221957	fa9qHW1V		1235513204
はい	完了している	ここには何も入力しないでください。	40代	男性	会社勤務（一般社員）		その他		日本語配列（JIS配列）		20~29通	情報共有	221957##	3fWxgpP1		1230125756
はい	完了している	ここには何も入力しないでください。	50代	男性	自営業（商工サービス）		外食・各種サービス		日本語配列（JIS配列）		1~9通	仕事上の相手に対しての業務連絡・報告等	221957##	E7hPoxkH##	タイピングが出来ないので難しかったですね	1234358462
はい	完了している	ここには何も入力しないでください。	30代	男性	自営業（商工サービス）		情報・通信		日本語配列（JIS配列）		1~9通	取引で支払いがなかったときに取引先に問い合わせすることが多いです。	221957	1U7vBLsE		1236742968
はい	完了している	ここには何も入力しないでください。	30代	男性	会社勤務（一般社員）		この中に当てはまるものがない		日本語配列（JIS配列）		1~9通	業務内容及び見積書及び図面関係の送付で使用する	221957	qw3QW14c	楽しくできました。	1237046864
はい	完了している	ここには何も入力しないでください。	40代	男性	公務員・教職員・非営利団体職員		官公庁・団体		日本語配列（JIS配列）		1~9通	取引先との連絡・報告事項、問い合わせ等に対する回答	221957	UCLPGW93	一部文字を修正しようとしたら入力アドレスが丸ごと消えてしまったりと操作に戸惑う箇所があった。##使い方のクセはもう少し説明してほしかった	1236226218
はい	完了している	ここには何も入力しないでください。	30代	男性	会社勤務（一般社員）		不動産・住宅設備		日本語配列（JIS配列）		1通未満	社外の取引先に成果物(データ)の提出、見積書等の書類の提出	221957	TG1ANnNU		1234513308
はい	完了している	ここには何も入力しないでください。	50代	男性	無職		この中に当てはまるものがない		英語配列（US配列）		1通未満		221957	B4jMwoQM		1233676645
