設問1	設問2-1	設問2-2	設問3	設問4	設問5-1	設問5-2	設問6-1	設問6-2	設問7-1	設問7-2	設問8	設問9	設問10（チェック）	設問11	設問12	会員ID
はい	完了している	ここには何も入力しないでください。	50代	女性	専業主婦・主夫		その他	無職(専業主婦)	英語配列（US配列）		1通未満	日常会話	221957	r8CFw1rk	楽しかった	1237829372
はい	完了している	ここには何も入力しないでください。	40代	女性	パート・アルバイト		薬品・医療用品		日本語配列（JIS配列）		1~9通	実績報告、業務連絡、会議関連	221957	gcHXPJEq		1238285637
はい	完了している	ここには何も入力しないでください。	40代	女性	派遣社員・契約社員		その他	建設業	日本語配列（JIS配列）		1~9通	取引先との書類送信、質問回答。社内での依頼や回答。	221957	RPeVqN9O		1233205263
はい	完了している	ここには何も入力しないでください。	50代	女性	会社勤務（一般社員）		外食・各種サービス		英語配列（US配列）		1~9通	予定の調整、請求書のやりとり	221957	Y1EbKTJD		1235216041
はい	完了している	ここには何も入力しないでください。	50代	女性	会社勤務（一般社員）		エネルギー・素材・産業機械		日本語配列（JIS配列）		1通未満	仕事の確認メール	221957	0FTLbt07		1228286415
はい	完了している	ここには何も入力しないでください。	40代	女性	会社勤務（一般社員）		その他		日本語配列（JIS配列）		1通未満	キャンセルリストを集計したもの。	221957	tAyuAJcV		1234667602
はい	完了している	ここには何も入力しないでください。	40代	女性	パート・アルバイト		情報・通信		日本語配列（JIS配列）		1~9通	業務連絡全般	221957	qw3up14c	Outlookでメール送信する際は、メーリングリストから選択するケースがほとんどのため、イチからアドレスを入力する経験は久しぶりだったし、意外と難儀した。	1238584718
はい	完了している	ここには何も入力しないでください。	20代	女性	会社経営（経営者・役員）		その他	複合	日本語配列（JIS配列）		1通未満	質問への回答	221957	kvK09TER		1232908241
はい	完了している	ここには何も入力しないでください。	40代	女性	パート・アルバイト		その他	マンションコンシェルジュ	日本語配列（JIS配列）		1~9通	本社への連絡事項##業者への発注	221957	3fWW5pP1	焦りましたがまだまだスキルが足りていないことを実感しました。	1231115810
はい	完了している	ここには何も入力しないでください。	20代	女性	専門職（弁護士・税理士等・医療関連）		教育・医療サービス・宗教		日本語配列（JIS配列）		1~9通	日程調整、依頼文、見積り	221957	tAyKbJcV	制限時間がある中の入力で、緊張感をもってできた	1233402535
はい	完了している	ここには何も入力しないでください。	40代	女性	無職		この中に当てはまるものがない		日本語配列（JIS配列）		1~9通	連絡	221957	7LdyQD25	なし	1239226953
はい	完了している	ここには何も入力しないでください。	50代	女性	SOHO		教育・医療サービス・宗教		日本語配列（JIS配列）		1通未満	仕事の内容の確認。出席の返信など。	221957	QoAAk4uZ		1236929866
はい	完了している	ここには何も入力しないでください。	50代	女性	専業主婦・主夫		この中に当てはまるものがない		日本語配列（JIS配列）		1通未満	問い合わせ対応	221957	OKJfwLdf		1228460419
はい	完了している	ここには何も入力しないでください。	30代	女性	会社勤務（一般社員）		外食・各種サービス		日本語配列（JIS配列）		10~19通	打ち合わせのスケジュール登録	221957	lbizXG5M		1231619114
はい	完了している	ここには何も入力しないでください。	40代	女性	無職		この中に当てはまるものがない		日本語配列（JIS配列）		20~29通	転職エージェントなど	221957	3fWsrpP1		1239156044
はい	完了している	ここには何も入力しないでください。	40代	女性	会社勤務（一般社員）		金融・保険		日本語配列（JIS配列）		1~9通	業務照会に対する回答	221957	UCLQoW93		1237748748
はい	完了している	ここには何も入力しないでください。	40代	女性	パート・アルバイト		エネルギー・素材・産業機械		日本語配列（JIS配列）		1通未満	自分の業務の進捗状況の報告と、トラブルが起きた場合はその相談	221957	xVoKICyM		1231275871
はい	完了している	ここには何も入力しないでください。	40代	女性	会社勤務（一般社員）		教育・医療サービス・宗教		日本語配列（JIS配列）		1通未満	学校関係	221957	pIkWTl3J		1232741918
はい	完了している	ここには何も入力しないでください。	10代	女性	学生		教育・医療サービス・宗教		日本語配列（JIS配列）		1通未満	業務連絡	221957	E7hrpxkH	つかれた	1234299966
はい	完了している	ここには何も入力しないでください。	50代	女性	パート・アルバイト		この中に当てはまるものがない		日本語配列（JIS配列）		1~9通	問い合わせ	221957	FyG4eX2u		1233906199
はい	完了している	ここには何も入力しないでください。	50代	女性	会社勤務（一般社員）		その他	専門ビジネス	日本語配列（JIS配列）		1通未満	IT問い合わせ	221957	W90Qzr1u		1228228675
はい	完了している	ここには何も入力しないでください。	40代	女性	会社勤務（一般社員）		家電・AV機器		日本語配列（JIS配列）		20~29通	業務連絡、ベンダーとのやりとり	221957	Km5sKQhe		1234898066
はい	完了している	ここには何も入力しないでください。	50代	女性	派遣社員・契約社員		その他		日本語配列（JIS配列）		40~49通	親睦会のお知らせや物品購入依頼の確認メール	221957	vgmBBzqs		1233580936
はい	完了している	ここには何も入力しないでください。	30代	女性	会社勤務（一般社員）		情報・通信		日本語配列（JIS配列）		10~19通	今後ともよろしくお願いいたします	221957	jOwdepNT		1230438660
はい	完了している	ここには何も入力しないでください。	50代	女性	パート・アルバイト		教育・医療サービス・宗教		日本語配列（JIS配列）		1~9通	スケジュールの確認などです。	221957	SeIjqsMx	メールアドレスを入力することが最近はあまりないなと思いました。	1230637735
はい	完了している	ここには何も入力しないでください。	50代	女性	パート・アルバイト		その他	印刷	日本語配列（JIS配列）		1通未満	社内連絡	221957	gcHP7JEq		1236454017
はい	完了している	ここには何も入力しないでください。	50代	女性	パート・アルバイト		流通・小売業		英語配列（US配列）		1~9通	その日の業務報告、ヒヤリハット等	221957	RPeK7N9O		1227977077
はい	完了している	ここには何も入力しないでください。	50代	女性	その他の職業	ハンドメイド作家	この中に当てはまるものがない		日本語配列（JIS配列）		1~9通	・このご質問には契約先との特別機密条項に抵触するおそれがあるため回答を差し控えます。	221957	Y1EmETJD	メールアドレスの直入力は慣れていないので緊張しました。	1235269705
はい	完了している	ここには何も入力しないでください。	50代	女性	派遣社員・契約社員		教育・医療サービス・宗教		日本語配列（JIS配列）		10~19通	社内向け会議への参加のお願い・社内へ原稿提出のお願い・問い合わせに対する回答他	221957	oXlvVr7q		1225970694
はい	完了している	ここには何も入力しないでください。	40代	女性	自営業（商工サービス）		情報・通信		英語配列（US配列）		1通未満	メールではなくチャットワークといったツールです。新しい商品の提案や相談といったものです。	221957	MBnmdyn8		1232856241
はい	完了している	ここには何も入力しないでください。	50代	女性	パート・アルバイト		教育・医療サービス・宗教		日本語配列（JIS配列）		1通未満	業務開始時間に関すること	221957	LSpUoH1j	左下が見にくかった	1225045681
はい	完了している	ここには何も入力しないでください。	50代	女性	パート・アルバイト		教育・医療サービス・宗教		日本語配列（JIS配列）		1通未満	園長から依頼のあったものを送信（報告書等）	221957	W90lRr1u	なかなか大変でした	1235944047
はい	完了している	ここには何も入力しないでください。	40代	女性	派遣社員・契約社員		新聞・雑誌・テレビ・ラジオ・広告等マスコミ関係		日本語配列（JIS配列）		1通未満	IT部門への問い合わせ	221957	qw3fz14c		1239174796
はい	完了している	ここには何も入力しないでください。	40代	女性	公務員・教職員・非営利団体職員		官公庁・団体		日本語配列（JIS配列）		10~19通	問い合わせやお知らせ	221957	6zgYKxhy		1237696913
はい	完了している	ここには何も入力しないでください。	50代	女性	パート・アルバイト		官公庁・団体		日本語配列（JIS配列）		1通未満	社内連絡	221957	7LdI5D25		1227747477
はい	完了している	ここには何も入力しないでください。	40代	女性	派遣社員・契約社員		その他		日本語配列（JIS配列）		20~29通	問い合わせに対する返答	221957	TG1TQnNU		1229205400
はい	完了している	ここには何も入力しないでください。	50代	女性	専業主婦・主夫		この中に当てはまるものがない		日本語配列（JIS配列）		100~500通	なし	221957	5xQL4Zjz	大変疲れました	1230522304
はい	完了している	ここには何も入力しないでください。	50代	女性	派遣社員・契約社員		官公庁・団体		日本語配列（JIS配列）		1通未満	業務でメールは送信しない	221957	0FT7Ct07	最後の入力画面で左の例題の一番上が切れていたし、BCCを入力する際にも画面が出てこず時間が過ぎてしまった。	1236113422
はい	完了している	ここには何も入力しないでください。	50代	女性	パート・アルバイト		この中に当てはまるものがない		日本語配列（JIS配列）		1通未満	業務終了報告	221957	J5aZjELP		1239103081
